"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"a46833147d524b23f5eb0325d3d8c04c","Unassigned",NA,NA,NA,NA,NA,NA
"80b15b817eac5629a6cbbe389b6c2c2e","Unassigned",NA,NA,NA,NA,NA,NA
"9ae6aac58b52ab91f8985384058016a6","Unassigned",NA,NA,NA,NA,NA,NA
"6da5102bdf3a627f7b31be1bd15c46ba","Unassigned",NA,NA,NA,NA,NA,NA
"349a072353802c084555777cc097757a","Unassigned",NA,NA,NA,NA,NA,NA
"2edf817524ed429e0eaf68f8aa9e5731","Unassigned",NA,NA,NA,NA,NA,NA
"2bbacaf776648cfbec1c542c1294a967","Unassigned",NA,NA,NA,NA,NA,NA
"1b67dcaa25d371d358cf4ddffaaa26e0","Unassigned",NA,NA,NA,NA,NA,NA
"f87c2396d95e4b5d498e6ae057d58f3e","Unassigned",NA,NA,NA,NA,NA,NA
"1325a6a8e636f4b2dd95dc4fc57e0ac7","Unassigned",NA,NA,NA,NA,NA,NA
"ec5329b9e6eaf792a75ac9c79f2a7a03","Unassigned",NA,NA,NA,NA,NA,NA
"56410f066a82f9cb76d75fd6c5bf3b4a","Unassigned",NA,NA,NA,NA,NA,NA
"0eb404e7a37e7b302d6fe26ba8104024","Unassigned",NA,NA,NA,NA,NA,NA
"7dc912c3874449fc5416c88d05d4ce60","Unassigned",NA,NA,NA,NA,NA,NA
"28491c7818f811991bb42f9c4028a190","Unassigned",NA,NA,NA,NA,NA,NA
"53990389da566f0181cdfe2c658c2ed4","Unassigned",NA,NA,NA,NA,NA,NA
"5c14ef3ae5bbc8d7ae43e6bc2ea0ca27","Unassigned",NA,NA,NA,NA,NA,NA
"d3a64d988d15f7b20d2e58bc01bbb55f","d__Eukaryota",NA,NA,NA,NA,NA,NA
"24b642f15d0f524f8152610ae092bfed","Unassigned",NA,NA,NA,NA,NA,NA
"20afe0e8477c7781b2bd34363b297e6d","Unassigned",NA,NA,NA,NA,NA,NA
"e709670735dc9186e5d59957214c574b","d__Eukaryota","Ascomycota",NA,NA,NA,NA,NA
"b095cb21486820fdd945c971d5455601","Unassigned",NA,NA,NA,NA,NA,NA
"8b5063dec217ecfb865b8f1c565bb636","Unassigned",NA,NA,NA,NA,NA,NA
"f94d489c161bab91b953e16cc01b196d","Unassigned",NA,NA,NA,NA,NA,NA
"d83d9f0c2703eedeb35b8efb44ec6e72","Unassigned",NA,NA,NA,NA,NA,NA
"d67243e7cb5b751685b1f78ef7a39bc0","Unassigned",NA,NA,NA,NA,NA,NA
"42d9c97b6ea02348849837b010bb10e4","d__Eukaryota",NA,NA,NA,NA,NA,NA
"93c114d9dd386905a0462c3b143e27fe","Unassigned",NA,NA,NA,NA,NA,NA
"ea70282bd14dd90f18774706f3d251da","Unassigned",NA,NA,NA,NA,NA,NA
"059f21a327c6af44dca4120a1c3c1aaf","Unassigned",NA,NA,NA,NA,NA,NA
"54bb2f9cc643b8f2d8969f6b704a899e","d__Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",NA
"9f95ef59e2343248e2bb67c8b4b50f8c","Unassigned",NA,NA,NA,NA,NA,NA
"788876c65095bc061e219b3adbe5e8fd","Unassigned",NA,NA,NA,NA,NA,NA
"5506d372fc9bebe238d2277df96600cc","Unassigned",NA,NA,NA,NA,NA,NA
"f62d4b874ecb50ec2fe129d2581f1f23","Unassigned",NA,NA,NA,NA,NA,NA
"c79e1a94ef07a584ecec96244b0ca312","Unassigned",NA,NA,NA,NA,NA,NA
"2c8007c8eb2f8fd818d2de9ec8bfbba4","d__Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",NA
"ccf81d30fd0d597a5d918ecbf9973d1f","Unassigned",NA,NA,NA,NA,NA,NA
"997926b0fa1d0662461bd09489d56d30","Unassigned",NA,NA,NA,NA,NA,NA
"d9c2f9e7505f0cc52793e6247090c40f","Unassigned",NA,NA,NA,NA,NA,NA
"8e44b77575765d8add6791ad2db47b34","Unassigned",NA,NA,NA,NA,NA,NA
"c1c42ca7530a505e3537b8c24882b3b4","Unassigned",NA,NA,NA,NA,NA,NA
"26a7641eb0d42329cb78456c83eaa713","Unassigned",NA,NA,NA,NA,NA,NA
"deccb22091e4cedcb2b9c8687b65983d","Unassigned",NA,NA,NA,NA,NA,NA
"ba620b132d5b6365fe2c19ab8a10515e","Unassigned",NA,NA,NA,NA,NA,NA
"2252bcf2c0bbbc4126a9a94aba641d0c","Unassigned",NA,NA,NA,NA,NA,NA
"e857c4a9278d532dc6220fd789471292","Unassigned",NA,NA,NA,NA,NA,NA
"65099263e46f84a2d102f5e39d12b143","Unassigned",NA,NA,NA,NA,NA,NA
"84541577eddc910dff862a59af47a3eb","Unassigned",NA,NA,NA,NA,NA,NA
"8afa793d61e93e9186271592f05743cc","d__Eukaryota","Ascomycota",NA,NA,NA,NA,NA
"a88b1fe615e156180548cf93473b4a46","Unassigned",NA,NA,NA,NA,NA,NA
"e2610f7cdbc094aa0519456238c2d107","Unassigned",NA,NA,NA,NA,NA,NA
"2eb61a05161c1baa25fbea1b0e33a9a2","d__Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",NA
"6c53d9f7635f0aa0278d389437ab5002","Unassigned",NA,NA,NA,NA,NA,NA
"9690ff012cfc6aba7349d98358d5017f","Unassigned",NA,NA,NA,NA,NA,NA
